,level_0,index,URLS,Title,OverAll,Time,Rank,
46,46,930,https://www.tripadvisor.com//Attraction_Review-g293995-d19804867-Reviews-Riyadh_Season_Boulevard-Riyadh_Riyadh_Province.html,['Riyadh Season Boulevard'],['4.5 of 5 bubbles. 12 reviews'],4PM–2AM,['#31,88 things to do in Riyadh']
47,47,936,https://www.tripadvisor.com//Attraction_Review-g293995-d20067348-Reviews-King_Salman_Park-Riyadh_Riyadh_Province.html,['King Salman Park'],['4.5 of 5 bubbles. 3 reviews'],['12:00 AM - 11:59 PM'],['#48,88 things to do in Riyadh']
48,48,942,https://www.tripadvisor.com//Attraction_Review-g293995-d19095560-Reviews-Othaim_Mall-Riyadh_Riyadh_Province.html,['Othaim Mall'],['4.5 of 5 bubbles. 4 reviews'],24 hours,['#47,88 things to do in Riyadh']
49,49,948,https://www.tripadvisor.com//Attraction_Review-g293995-d19993941-Reviews-Nofa_Wildlife_Park-Riyadh_Riyadh_Province.html,['Nofa Wildlife Park'],['4.0 of 5 bubbles. 4 reviews'],9AM–1AM,['#53,88 things to do in Riyadh']
50,50,954,https://www.tripadvisor.com//Attraction_Review-g293995-d10278315-Reviews-Underground_Gallery-Riyadh_Riyadh_Province.html,['Underground Gallery'],['4.5 of 5 bubbles. 12 reviews'],4PM-12PM,['#37,88 things to do in Riyadh']
51,51,960,https://www.tripadvisor.com//Attraction_Review-g293995-d19244522-Reviews-Royal_Mall-Riyadh_Riyadh_Province.html,['Royal Mall'],['4.0 of 5 bubbles. 4 reviews'],9AM–1AM,['#54,88 things to do in Riyadh']
52,52,966,https://www.tripadvisor.com//Attraction_Review-g293995-d19950668-Reviews-Public_Al_Suwaidi_Garden-Riyadh_Riyadh_Province.html,['Public Al-Suwaidi Garden'],['5.0 of 5 bubbles. 1 review'],['12:00 AM - 11:59 PM'],['#59,88 things to do in Riyadh']
53,53,969,https://www.tripadvisor.com//Attraction_Review-g293995-d15758664-Reviews-Royal_Saudi_Airforce_Museum-Riyadh_Riyadh_Province.html,['Royal Saudi Airforce Museum'],['5.0 of 5 bubbles. 1 review'],4–9PM,['#60,88 things to do in Riyadh']
54,54,975,https://www.tripadvisor.com//Attraction_Review-g293995-d10020480-Reviews-Colors_of_Saudi-Riyadh_Riyadh_Province.html,['Colors of Saudi'],['4.5 of 5 bubbles. 4 reviews'],4PM-12-M,['#52,88 things to do in Riyadh']
56,56,984,https://www.tripadvisor.com//Attraction_Review-g293995-d17782202-Reviews-Al_Yamama_Pools_And_Resorts-Riyadh_Riyadh_Province.html,['Al Yamama Pools And Resorts'],['2.0 of 5 bubbles. 2 reviews'],['4:00 PM - 11:00 PM'],['#68,88 things to do in Riyadh']
